Country1,Country2,Weight,Geographical_Distance
Vietnam,Estonia,152,8082.784838458567
Estonia,Finland,58,501.81304131888027
Palestinian territories,Denmark,10,3277.570677032637
Ukraine,Uzbekistan,115,2689.45609526176
India,France,11,7245.67339386197
Slovakia,Slovakia,28,0.0
Zambia,Switzerland,1807,7060.697483883345
Slovakia,Singapore,16,9482.485806391347
Finland,Ukraine,25,1566.0327844498586
Ukraine,Palestinian territories,13,1991.916178484616
Vietnam,Spain,34,10753.523340840331
Vatican City,Georgia,13,8109.961742742154
Slovakia,Denmark,9,989.8334757235936
Denmark,Croatia,6,1205.9492247848434
"Korea, North",Trinidad and Tobago,6,15994.84887327237
Czech Republic,India,5,6240.004625470688
India,South Africa,12,8074.156288931303
Zambia,Congo (DRC),6,1340.4619680184062
Congo (DRC),Vietnam,23,9481.70628419917
Vietnam,Vietnam,260,0.0
Zambia,France,149,7240.673385029148
France,Estonia,156,2064.3717943440374
Vietnam,Vatican City,374,9289.068702712004
Vatican City,Yemen,236,4409.179696217311
Switzerland,Zambia,2024,7060.697483883345
Estonia,Vietnam,324,8082.784838458567
Zambia,Estonia,1160,8123.384928566411
"Korea, North",Indonesia,26,4718.793611442765
Vietnam,Zambia,681,9460.106877960523
Estonia,France,76,2064.3717943440374
Zambia,Vietnam,552,9460.106877960523
Vietnam,France,43,9916.507256253662
France,Uzbekistan,12,4885.696419746073
Uzbekistan,Vietnam,7,5063.994984218676
Switzerland,Uzbekistan,349,4411.295136170404
Zambia,Uganda,43,1848.0641666572008
Uganda,Vatican City,13,4889.601211940453
Vietnam,Switzerland,688,9454.048390118443
Vietnam,Zambia,292,9460.106877960523
Zambia,Singapore,46,8576.495193781919
Vietnam,Uzbekistan,292,5063.994984218676
Uzbekistan,Vietnam,187,5063.994984218676
Vietnam,Singapore,415,1674.461028811172
Singapore,Serbia and Montenegro,160,9470.737753243133
Serbia and Montenegro,Estonia,215,1744.9707220089554
Zambia,Vietnam,1163,9460.106877960523
Slovakia,Vietnam,47,8586.607858086478
Vietnam,Serbia and Montenegro,140,8707.809919085605
Serbia and Montenegro,Vietnam,39,8707.809919085605
"Korea, North",Estonia,58,14927.815930761895
Estonia,France,187,2064.3717943440374
Denmark,Vietnam,31,9029.085294995677
Vietnam,Ukraine,109,7720.702860629765
Zambia,Indonesia,229,9984.746552849752
Indonesia,Vietnam,219,2310.6584158690507
Vietnam,Vietnam,329,0.0
Vatican City,Estonia,247,2078.1628055490287
Estonia,Zambia,562,8123.384928566411
Zambia,Uzbekistan,282,7228.024194152246
Switzerland,Estonia,621,1750.6921641799904
Serbia and Montenegro,Vietnam,152,8707.809919085605
Vietnam,Indonesia,217,2310.6584158690507
Indonesia,Zambia,174,9984.746552849752
Zambia,Finland,109,8622.818746468625
Finland,Singapore,11,9266.383111565046
Singapore,Vietnam,6,1674.461028811172
Switzerland,Slovakia,55,867.4741888952717
Ukraine,Finland,35,1566.0327844498586
Estonia,India,15,5818.663277748642
Vietnam,Georgia,19,14536.333557370892
Georgia,"Korea, North",25,14872.42299555388
"Korea, North",Ukraine,38,14671.271751847333
Uzbekistan,Zambia,137,7228.024194152246
Switzerland,Ukraine,331,1733.38448638482
Ukraine,Vietnam,88,7720.702860629765
Vietnam,Estonia,529,8082.784838458567
Estonia,Yemen,73,5058.66184077633
Vatican City,Vietnam,372,9289.068702712004
Estonia,Vietnam,129,8082.784838458567
Vatican City,Uzbekistan,223,4226.556990702137
Uzbekistan,Serbia and Montenegro,41,3644.457674776821
Vietnam,"Korea, North",107,6950.68469206214
"Korea, North",Singapore,10,6170.786918233715
Singapore,Vietnam,93,1674.461028811172
Singapore,Uzbekistan,68,5963.363387284414
Ukraine,Zambia,44,7098.988814163042
Uzbekistan,Vatican City,132,4226.556990702137
Estonia,Serbia and Montenegro,296,1744.9707220089554
Indonesia,Uzbekistan,61,7287.723507718363
Finland,Estonia,68,501.81304131888027
Estonia,Uzbekistan,159,3306.1233918263642
Finland,Switzerland,81,2136.0878906242547
Serbia and Montenegro,Uzbekistan,38,3644.457674776821
India,Estonia,13,5818.663277748642
Estonia,Ukraine,326,1100.9404306358344
Estonia,Switzerland,736,1750.6921641799904
Switzerland,Serbia and Montenegro,57,936.5916651571009
Serbia and Montenegro,Yemen,19,4050.7319186086215
Yemen,Ukraine,42,3970.8710947814225
Switzerland,Vietnam,1081,9454.048390118443
Uzbekistan,Singapore,62,5963.363387284414
Yemen,Vietnam,43,6400.408762863009
Vietnam,"Korea, North",44,6950.68469206214
"Korea, North",Vietnam,60,6950.68469206214
Vietnam,Slovakia,32,8586.607858086478
Slovakia,Singapore,8,9482.485806391347
Ukraine,Serbia and Montenegro,88,1135.149349259685
Switzerland,Vatican City,482,639.4077193048702
Vatican City,Zambia,240,6436.58793251908
Zambia,France,50,7240.673385029148
Vietnam,Congo (DRC),5,9481.70628419917
Uzbekistan,Finland,67,3469.2892490524273
Singapore,Vatican City,266,10024.610142789697
France,Ukraine,33,2199.8258019503305
South Africa,Yemen,5,5571.681741069542
Vatican City,Serbia and Montenegro,31,583.2240120413434
Serbia and Montenegro,Vatican City,148,583.2240120413434
Finland,Zambia,112,8622.818746468625
Zambia,Palestinian territories,31,5181.605598332308
Ukraine,Estonia,172,1100.9404306358344
Estonia,"Korea, North",52,14927.815930761895
Indonesia,Georgia,8,16045.098362038778
Georgia,Zambia,7,12792.988930788579
Vietnam,Ukraine,150,7720.702860629765
Serbia and Montenegro,Finland,17,2236.3450536656087
Estonia,Denmark,31,966.586492150335
Indonesia,Switzerland,216,11699.018538800361
Zambia,Vietnam,139,9460.106877960523
Vietnam,Estonia,104,8082.784838458567
Vietnam,Vatican City,431,9289.068702712004
Finland,Vietnam,11,8039.0830551007775
Vietnam,Slovakia,10,8586.607858086478
Slovakia,Estonia,12,1178.7116258290123
Vatican City,Georgia,105,8109.961742742154
Switzerland,Indonesia,236,11699.018538800361
Indonesia,"Korea, North",86,4718.793611442765
Indonesia,Finland,31,10349.351874863582
Vatican City,"Korea, North",40,16184.501401950525
Vatican City,Switzerland,421,639.4077193048702
Vatican City,Vietnam,163,9289.068702712004
Vietnam,Switzerland,130,9454.048390118443
Uzbekistan,Indonesia,51,7287.723507718363
Switzerland,Georgia,123,7567.04386841113
Vietnam,Vatican City,104,9289.068702712004
Finland,Vatican City,50,2532.2261180620417
Vatican City,Indonesia,110,11471.1043937895
Estonia,Vietnam,116,8082.784838458567
Estonia,Indonesia,73,10389.123210559437
Indonesia,Palestinian territories,22,9492.166978370005
Vietnam,Yemen,13,6400.408762863009
Yemen,Estonia,30,5058.66184077633
Vietnam,Uzbekistan,198,5063.994984218676
Uzbekistan,Vatican City,186,4226.556990702137
Indonesia,Estonia,95,10389.123210559437
Serbia and Montenegro,Ukraine,64,1135.149349259685
Zambia,Slovakia,217,7052.346937549163
Slovakia,Vietnam,97,8586.607858086478
Vietnam,Vietnam,42,0.0
Vietnam,Uzbekistan,30,5063.994984218676
Georgia,Ukraine,14,8875.204301037045
Ukraine,"Korea, North",30,14671.271751847333
"Korea, North",Finland,12,14759.300857120155
Switzerland,Finland,105,2136.0878906242547
Ukraine,Vatican City,80,1684.035983972222
Congo (DRC),Zambia,8,1340.4619680184062
Vietnam,Vietnam,19,0.0
Indonesia,Singapore,11,1622.5436667964414
Ukraine,India,14,5108.436320165856
Vatican City,France,21,991.0045331881425
Yemen,Vietnam,30,6400.408762863009
Estonia,Vatican City,295,2078.1628055490287
Zambia,Georgia,18,12792.988930788579
Georgia,Vietnam,9,14536.333557370892
Vietnam,Finland,90,8039.0830551007775
Spain,"Korea, North",7,17672.500357358615
Georgia,Switzerland,59,7567.04386841113
Vietnam,India,6,3157.4330577428886
Trinidad and Tobago,Palestinian territories,6,9952.705214901689
Palestinian territories,Vatican City,33,2289.7200234257484
Vatican City,India,16,6446.402480107052
Uzbekistan,Ukraine,147,2689.45609526176
Ukraine,South Africa,7,8695.129848157156
Serbia and Montenegro,Indonesia,11,10899.49163634542
Estonia,Slovakia,11,1178.7116258290123
Indonesia,Vietnam,156,2310.6584158690507
Croatia,Finland,9,2093.3039418151097
Zambia,Vatican City,514,6436.58793251908
Vatican City,Ukraine,74,1684.035983972222
Finland,Slovakia,16,1662.6884730708862
Slovakia,Uzbekistan,68,3548.548941298152
Uzbekistan,Uzbekistan,9,0.0
France,Indonesia,8,12172.180554599778
Vietnam,Finland,41,8039.0830551007775
Finland,Georgia,6,7722.975281582525
Finland,Uzbekistan,73,3469.2892490524273
Ukraine,Georgia,29,8875.204301037045
Georgia,Vatican City,27,8109.961742742154
Zambia,Ukraine,142,7098.988814163042
Uzbekistan,Vietnam,233,5063.994984218676
Finland,India,7,5977.682819443233
"Korea, North",Yemen,41,12218.287961824362
Vatican City,Switzerland,269,639.4077193048702
Indonesia,India,8,5070.1577239559565
Palestinian territories,Spain,5,3672.112632879868
Spain,"Korea, North",9,17672.500357358615
India,Vietnam,24,3157.4330577428886
Ukraine,Yemen,47,3970.8710947814225
Vietnam,Singapore,22,1674.461028811172
Estonia,Vatican City,8,2078.1628055490287
India,Switzerland,5,6760.482206960229
Switzerland,Vietnam,183,9454.048390118443
Vietnam,India,17,3157.4330577428886
Slovakia,Yemen,21,4423.7426744156455
Switzerland,Palestinian territories,50,2822.282711742261
Switzerland,Malta,6,1317.554460738321
Yemen,Vatican City,47,4409.179696217311
Slovakia,Ukraine,118,865.9144095091327
Vietnam,Indonesia,10,2310.6584158690507
"Korea, North",India,8,9744.590979030636
Singapore,Switzerland,76,10326.486461818211
Switzerland,"Korea, North",63,16404.431128119795
Uzbekistan,Vietnam,38,5063.994984218676
Vatican City,Yemen,70,4409.179696217311
Switzerland,Singapore,104,10326.486461818211
Slovakia,Switzerland,127,867.4741888952717
Slovakia,Zambia,365,7052.346937549163
Ukraine,Switzerland,61,1733.38448638482
Palestinian territories,Vietnam,22,7512.772579443736
"Korea, North",Georgia,10,14872.42299555388
Georgia,South Africa,15,13251.80727172641
Georgia,India,23,13652.546044363835
Vietnam,Singapore,88,1674.461028811172
Singapore,Vietnam,73,1674.461028811172
Vietnam,Zambia,19,9460.106877960523
Serbia and Montenegro,Zambia,38,6483.0839904851355
Vatican City,Croatia,17,463.4463100288435
Croatia,Uzbekistan,22,3882.5130870270395
India,Vatican City,31,6446.402480107052
India,Palestinian territories,11,4430.967706331291
"Korea, North",Vietnam,20,6950.68469206214
Vietnam,Vatican City,36,9289.068702712004
India,Vietnam,43,3157.4330577428886
Serbia and Montenegro,"Korea, North",16,15616.998690078617
Slovakia,Vatican City,71,936.5153953991669
Indonesia,Vatican City,95,11471.1043937895
Vietnam,Croatia,30,8943.25928056506
Slovakia,Slovakia,13,0.0
Slovakia,Vietnam,188,8586.607858086478
Nepal,India,10,856.3420184751958
India,Singapore,13,3578.3604474390945
Zambia,Trinidad and Tobago,16,10168.742334917417
India,Vatican City,18,6446.402480107052
Estonia,Nepal,5,5560.008756988801
Singapore,India,7,3578.3604474390945
Vietnam,Malta,8,9298.89254324094
Vatican City,Finland,53,2532.2261180620417
France,Uzbekistan,27,4885.696419746073
India,Switzerland,5,6760.482206960229
Uzbekistan,India,18,2514.9299586348584
Singapore,Indonesia,14,1622.5436667964414
Uzbekistan,Georgia,42,11180.54416711474
Vietnam,Yemen,57,6400.408762863009
Vietnam,Yemen,84,6400.408762863009
Yemen,Finland,26,5477.934240872463
India,Georgia,48,13652.546044363835
Georgia,Palestinian territories,5,10387.064773769935
Georgia,Finland,15,7722.975281582525
Vatican City,Palestinian territories,18,2289.7200234257484
Denmark,Yemen,12,5400.224204426586
"Korea, North",United Kingdom,9,16664.63729471699
Iceland,Finland,6,2110.2626264244846
Finland,Vietnam,70,8039.0830551007775
South Africa,Vietnam,9,10191.735763765997
Slovakia,India,10,5930.237418499274
Singapore,Yemen,15,6347.060866621284
"Korea, North",Switzerland,25,16404.431128119795
Uzbekistan,Uganda,8,5436.654208699891
Slovakia,Croatia,23,473.1153907336192
Vietnam,United Kingdom,28,9876.01166582161
Uzbekistan,Switzerland,374,4411.295136170404
Uzbekistan,Georgia,21,11180.54416711474
Switzerland,Denmark,41,997.7247963577352
Switzerland,Yemen,111,4968.836074229848
Uganda,Estonia,23,6374.014924863604
Indonesia,Vatican City,17,11471.1043937895
United Kingdom,Estonia,11,1793.2387795769769
Ukraine,Denmark,7,1569.0607031474767
Vietnam,Palestinian territories,5,7512.772579443736
Trinidad and Tobago,Vatican City,22,7859.008423708562
Estonia,India,9,5818.663277748642
India,Mauritius,13,5243.541100342308
Mauritius,Vietnam,14,6811.32411207257
Vietnam,India,11,3157.4330577428886
Spain,Vietnam,23,10753.523340840331
United Kingdom,Vatican City,8,1831.7290870361687
Zambia,India,6,6906.356960015454
Vietnam,Croatia,15,8943.25928056506
Estonia,Slovakia,39,1178.7116258290123
United Kingdom,Uzbekistan,16,5019.308192860889
Vietnam,Indonesia,150,2310.6584158690507
Vietnam,South Africa,16,10191.735763765997
Yemen,Slovakia,17,4423.7426744156455
United Kingdom,Yemen,6,6086.664785216628
Slovakia,Indonesia,19,10835.370001889998
Vatican City,Slovakia,87,936.5153953991669
Uzbekistan,Estonia,208,3306.1233918263642
Estonia,India,5,5818.663277748642
Vatican City,Uzbekistan,122,4226.556990702137
Yemen,Indonesia,15,7967.076038439538
Zambia,Slovakia,120,7052.346937549163
Vietnam,Slovakia,194,8586.607858086478
Switzerland,Vatican City,66,639.4077193048702
Vatican City,South Africa,11,7935.297699368321
Vietnam,Slovakia,72,8586.607858086478
Singapore,Palestinian territories,15,7943.65869151942
Congo (DRC),Switzerland,12,5723.013661853857
Vietnam,Spain,7,10753.523340840331
Switzerland,Uganda,77,5528.899215190803
Trinidad and Tobago,Switzerland,10,7572.699230558606
Malta,Spain,9,1741.4790198454562
Mauritius,Georgia,8,15907.268108306222
Georgia,Vietnam,12,14536.333557370892
Vietnam,Georgia,24,14536.333557370892
Singapore,Czech Republic,13,9785.194134655223
Georgia,Georgia,9,0.0
Mauritius,Vietnam,7,6811.32411207257
Czech Republic,India,5,6240.004625470688
Ukraine,Singapore,31,8639.657913505705
Zambia,Yemen,134,4080.6623437284197
Yemen,Switzerland,58,4968.836074229848
Georgia,Vietnam,17,14536.333557370892
Estonia,India,15,5818.663277748642
India,Finland,14,5977.682819443233
Georgia,Zambia,6,12792.988930788579
Serbia and Montenegro,India,7,5893.222023541329
India,Vietnam,11,3157.4330577428886
Vietnam,Denmark,49,9029.085294995677
Vatican City,Singapore,11,10024.610142789697
Uganda,Vietnam,53,8445.48575769373
"Korea, North",Uzbekistan,44,11999.384962338032
Ukraine,Vietnam,106,7720.702860629765
Uzbekistan,Slovakia,45,3548.548941298152
Slovakia,Georgia,10,8213.05811474514
Georgia,Vietnam,28,14536.333557370892
Uganda,Uzbekistan,90,5436.654208699891
Ukraine,Mauritius,6,8153.018518250247
Slovakia,Estonia,77,1178.7116258290123
Vatican City,Singapore,137,10024.610142789697
"Korea, North",India,6,9744.590979030636
Ukraine,Slovakia,33,865.9144095091327
Spain,Vietnam,9,10753.523340840331
Palestinian territories,Switzerland,20,2822.282711742261
Yemen,Uzbekistan,38,3168.996944383872
Palestinian territories,Zambia,26,5181.605598332308
Vietnam,Iceland,7,9960.604213947716
India,Ukraine,53,5108.436320165856
Slovakia,Vietnam,5,8586.607858086478
Denmark,Vatican City,24,1538.6548302522292
Serbia and Montenegro,Trinidad and Tobago,5,8415.811583585817
Serbia and Montenegro,Croatia,35,349.7432580372575
Croatia,Zambia,43,6739.295022046885
Serbia and Montenegro,Denmark,8,1492.781126055661
Vietnam,"Korea, North",9,6950.68469206214
"Korea, North",France,7,16865.728203004226
Georgia,Mauritius,8,15907.268108306222
France,Switzerland,23,485.51004610806035
Spain,Ukraine,8,3054.233781920821
"Korea, North",Vatican City,43,16184.501401950525
Finland,Yemen,16,5477.934240872463
Estonia,Trinidad and Tobago,5,8786.067689837211
Trinidad and Tobago,Spain,10,6372.472990230833
Vietnam,Malta,6,9298.89254324094
Singapore,Uzbekistan,6,5963.363387284414
Zambia,Mauritius,14,3247.0147497428484
Zambia,Georgia,14,12792.988930788579
Vatican City,France,11,991.0045331881425
South Africa,France,8,8670.232492493116
Croatia,Vatican City,27,463.4463100288435
Uzbekistan,Denmark,27,4147.268875945384
Estonia,Palestinian territories,23,3085.7232882721805
Vatican City,Zambia,8,6436.58793251908
Palestinian territories,Estonia,26,3085.7232882721805
Vatican City,Estonia,18,2078.1628055490287
Iceland,Denmark,9,1857.9788677918766
India,Vietnam,7,3157.4330577428886
Slovakia,Switzerland,74,867.4741888952717
Yemen,Vatican City,48,4409.179696217311
India,Estonia,6,5818.663277748642
Indonesia,Yemen,37,7967.076038439538
Vatican City,Vietnam,21,9289.068702712004
France,Vietnam,11,9916.507256253662
Yemen,Palestinian territories,13,2152.491671594591
Estonia,Singapore,43,9214.431749411126
Denmark,Zambia,28,7943.801738169978
Palestinian territories,Vietnam,21,7512.772579443736
Switzerland,Iceland,8,2571.007554249979
India,Indonesia,9,5070.1577239559565
Indonesia,Ukraine,38,9972.804940445809
Ukraine,France,16,2199.8258019503305
France,Vietnam,25,9916.507256253662
